Приоритет,Сегмент,Компания,Instagram,Сайт,Телефон,Проблема (гипотеза),Оффер,Чек (сум),Статус,Источник,Заметка
A,Суши,СУШИ ТАШКЕНТ,@sushimotouz,нет,+998 77 380-80-80,Заказы только через директ/телефон; меню картинкой,СТАРТ,1190000,Не связывались,Поиск Instagram,Есть телефон в профиле — сильный кандидат
A,Суши,SUSHI BOSS,@sushi_boss.uz,нет,,Приём заказов в Telegram вручную; работает 11:00-00:00,СТАРТ,1190000,Не связывались,Поиск Instagram,Уже привыкли к Telegram — заказ упадёт в тот же чат
A,Суши,YAXSHI SUSHI,@yaxshisushi,нет,+998 98 800 91 17,Доставка до 03:00 — ночью оператор считает вручную,СТАРТ,1190000,Не связывались,Поиск Instagram,Ночные заказы = высокая нагрузка на оператора
A,Суши,Rolling Sushi,@rollingsushiuz,нет,,Нет ссылки для заказа в шапке профиля,СТАРТ,1190000,Не связывались,Поиск Instagram,
A,Суши,Sushi City,@sushi_city_uz,нет,,Суши + корейская кухня — большое меню в картинках,БИЗНЕС,2390000,Не связывались,Поиск Instagram,Большое меню -> пакет БИЗНЕС
A,Суши,Суши-Маркет,@sushi.market.uz,нет,,Меню картинкой в постах,СТАРТ,1190000,Не связывались,Поиск Instagram,
A,Суши,Wasabi,@wasabi_uz,нет,,Нет своего канала заказов,СТАРТ,1190000,Не связывались,Поиск Instagram,
A,Суши,UMAMI SUSHI,@umami_uz,нет,+998 97 700 44 22,Доставка 12:00-02:00; заказы по телефону,БИЗНЕС,2390000,Не связывались,Поиск Instagram,Seafood — премиальный сегмент выше чек
A,Пицца,ProstoPizza,@prostopizza.uz,нет,,Пицца+суши+роллы — меню большое и в картинках,БИЗНЕС,2390000,Не связывались,Поиск Instagram,Бесплатная доставка по городу — есть что настроить
A,Бургеры,Бургерная ФАРШ,@farsh.uz,нет,+998 95 508-07-07,Работают до 05:00 — ночью заказы вручную,СТАРТ,1190000,Не связывались,Поиск Instagram,
A,Пицца,Moscow Pizza,@moscowpizza.uz,нет,+998 93 167 9999,Доставка 24/7; широкое меню,БИЗНЕС,2390000,Не связывались,Поиск Instagram,Второй номер +998 93 168 9999
A,Бургеры,ШефBurger,@shefburger_uz,нет,+998 78 150 12 22,Несколько точек — меню и цены надо держать едиными,БИЗНЕС,2390000,Не связывались,Поиск Instagram,
A,Фастфуд,Культурная шаурма/лаваш,@shaurmeals_tashkent,нет,+998 50 900-78-87,Работают 10:00-02:00; заказы в директ,СТАРТ,1190000,Не связывались,Поиск Instagram,~3200 подписчиков — небольшой бюджет
A,Фастфуд,EAT ME SHAWERMA,@eatme.shawerma,нет,,Две точки (Foodmall + Мирабад); нет онлайн-меню,СТАРТ,1190000,Не связывались,Поиск Instagram,
B,Фастфуд,Shaurma Fast Food,@shaurma.menu,нет,,Меню в постах,СТАРТ,790000,Не связывались,Поиск Instagram,Проверить активность аккаунта
A,Кондитерская,Safia Cakes,@safiacakes,нет,,Торты на заказ через директ; 69K подписчиков,БИЗНЕС,2390000,Не связывались,Поиск Instagram,Большая аудитория без своего сайта — приоритет №1
A,Кофейня,Chaykof,@chaykoftashkent,нет,,Завтраки/десерты; нет онлайн-меню,QR-меню,490000,Не связывались,Поиск Instagram,Зальное заведение -> заходить с QR-меню
