category,name,description,price,image
Роллы,PHILADELPHIA,"Лосось, сливочный сыр, авокадо",89000,https://images.unsplash.com/photo-1553621042-f6e147245754?auto=format&fit=crop&w=1000&q=85
Роллы,SPICY TUNA,"Тунец, спайси соус, огурец",99000,https://images.unsplash.com/photo-1611143669185-af224c5e3252?auto=format&fit=crop&w=1000&q=85
Роллы,DRAGON,"Угорь, авокадо, соус унаги",119000,https://images.unsplash.com/photo-1559410540-0b7e6e5d4e36?auto=format&fit=crop&w=1000&q=85
Сеты,KYOTO SET,24 шт. — выбор шефа,249000,https://images.unsplash.com/photo-1569058242253-92a9c755a0ec?auto=format&fit=crop&w=1000&q=85
Сеты,SAMURAI,32 шт. — суши и роллы,319000,https://images.unsplash.com/photo-1579584425555-c3ce17fd4351?auto=format&fit=crop&w=1000&q=85
Сеты,OMAKASE,40 шт. — премиальный сет,449000,https://images.unsplash.com/photo-1617196034183-421b4917c92d?auto=format&fit=crop&w=1000&q=85
Суши,SALMON,"Лосось, рис, васаби",49000,https://images.unsplash.com/photo-1579871494447-9811cf80d66c?auto=format&fit=crop&w=1000&q=85
Суши,TUNA,"Тунец, рис, васаби",59000,https://images.unsplash.com/photo-1617196034796-73dfa7b1fd56?auto=format&fit=crop&w=1000&q=85
Суши,EBI,"Тигровая креветка, рис",55000,https://images.unsplash.com/photo-1563612116625-3012372fccce?auto=format&fit=crop&w=1000&q=85
Напитки,JUNMAI,Японское саке,189000,https://images.unsplash.com/photo-1528360983277-13d401cdc186?auto=format&fit=crop&w=1000&q=85
Напитки,DASSAI,Premium Junmai Daiginjo,329000,https://images.unsplash.com/photo-1576675466969-38eeae4b41f6?auto=format&fit=crop&w=1000&q=85
Напитки,NIGORI,Мягкое сливочное саке,219000,https://images.unsplash.com/photo-1596450514735-111a2e2d3f9d?auto=format&fit=crop&w=1000&q=85
